URL,Size(Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/interactive/2024/02/16/opinion/sourdough-bread-starters-pandemic.html,373931,146,text/html
https://www.nytimes.com/video/world/middleeast/100000009282664/gaza-nasser-hospital-doctor-evacuation.html,1048576,55,text/html
https://www.nytimes.com/2024/02/08/movies/out-of-darkness-review.html,281833,138,text/html
https://www.nytimes.com/2018/04/05/arts/music/grace-jones-bloodlight-and-bami-documentary.html,268512,128,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/pence-republican-candidates-2024-issues.html,635285,166,text/html
https://www.nytimes.com/2023/11/22/upshot/abortion-births-bans-states.html,303373,134,text/html
https://www.nytimes.com/2024/02/17/opinion/culture-society.html,238314,117,text/html
https://www.nytimes.com/2023/08/14/us/trump-georgia-election-results.html,370032,156,text/html
https://www.nytimes.com/2024/02/06/books/review/john-lewis-raymond-arsenault-medgar-and-myrlie-joy-ann-reid.html,279576,125,text/html
https://www.nytimes.com/2024/02/16/nyregion/trump-fraud-trial-finances.html,284481,125,text/html
https://www.nytimes.com/2016/09/15/arts/international/oscar-wilde-honored-by-the-prison-that-once-detained-him.html,231590,112,text/html
https://www.nytimes.com/2022/05/12/us/politics/abortion-protests-supreme-court-justices.html,277066,123,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/republican-candidates-2024-climate.html,635213,171,text/html
https://www.nytimes.com/2024/01/25/realestate/rent-prices-housing.html,258061,127,text/html
https://www.nytimes.com/2023/10/24/upshot/abortion-numbers-dobbs.html,377565,147,text/html
https://www.nytimes.com/2020/06/26/nyregion/layleen-polanco-rikers-transgender-death.html,248418,117,text/html
https://www.nytimes.com/2024/02/06/world/middleeast/israel-idf-soldiers-war-social-media-video.html,385611,156,text/html
https://www.nytimes.com/2024/02/01/books/review/the-women-kristin-hannah.html,260177,134,text/html
https://www.nytimes.com/2024/02/15/us/politics/fani-willis-disqualified-trump.html,253261,134,text/html
https://www.nytimes.com/interactive/2024/01/02/us/politics/trump-ballot-removal-map.html,577110,141,text/html
https://www.nytimes.com/article/rikers-deaths-jail.html,401522,137,text/html
https://www.nytimes.com/2022/06/06/nyregion/gun-control-supreme-court-nyc.html,275943,128,text/html
https://www.nytimes.com/2023/02/10/realestate/tiny-homes-housing-market-trends.html,305685,128,text/html
https://www.nytimes.com/article/trump-cases-counts-charges-strengths.html,311419,128,text/html
https://www.nytimes.com/article/supreme-court-abortion-pill-ruling.html,273239,123,text/html
https://www.nytimes.com/1986/04/16/obituaries/jean-genet-the-playwright-dies-at-75.html,229701,116,text/html
https://www.nytimes.com/2024/02/18/us/politics/republicans-trump-russia.html,268425,132,text/html
https://www.nytimes.com/article/fani-willis-georgia-trump.html,302365,144,text/html
https://www.nytimes.com/2024/02/06/books/review/cahokia-jazz-francis-spufford.html,287067,136,text/html
https://www.nytimes.com/2020/12/03/us/politics/jenna-ellis-trump.html,291901,131,text/html
https://www.nytimes.com/interactive/2024/02/16/upshot/flashback.html,179805,122,text/html
https://www.nytimes.com/2018/05/28/opinion/dostoyevsky-true-crime.html,238417,120,text/html
https://www.nytimes.com/interactive/2022/us/abortion-laws-roe-v-wade.html,277012,122,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/will-hurd-republican-candidates-2024-issues.html,627529,162,text/html
https://www.nytimes.com/2023/08/17/business/mortgage-rates-housing-market.html,261184,129,text/html
https://www.nytimes.com/2023/12/26/world/europe/navalny-russia-prison-letter.html,255648,130,text/html
https://www.nytimes.com/2024/02/18/world/europe/russian-opposition-in-exile.html,303713,126,text/html
https://www.nytimes.com/2024/02/16/us/fani-willis-case-trump.html,290052,132,text/html
https://www.nytimes.com/1991/05/03/opinion/pictures-at-an-execution.html,217080,117,text/html
https://www.nytimes.com/2024/02/17/opinion/ukraine-aid-russia-united-states.html,274842,125,text/html
https://www.nytimes.com/2020/10/06/world/europe/navalny-opcw-russia-novichok.html,286048,132,text/html
https://www.nytimes.com/2017/07/19/movies/blow-up-michaelangelo-antonioni-film-forum.html,242376,138,text/html
https://www.nytimes.com/2022/07/14/upshot/housing-shortage-us.html,352811,145,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/republican-candidates-2024-ukraine.html,640003,172,text/html
https://www.nytimes.com/1981/07/24/movies/travolta-stars-in-depalma-s-blow-out.html,246851,118,text/html
https://www.nytimes.com/2019/12/26/nyregion/collecting-cans-collectors-nyc.html,322434,127,text/html
https://www.nytimes.com/2024/02/16/opinion/elizabeth-gloucester-black-history.html,455179,162,text/html
https://www.nytimes.com/2024/02/15/world/europe/russia-invasion-casualties-wounded.html,269017,136,text/html
https://www.nytimes.com/interactive/2020/07/22/us/portland-protests.html,277489,114,text/html
